"","char.name","char.stat","char.value"
"1","Aadi Alahan","Born","13th January 2006 (See ""Background information"" below)"
"2","Aadi Alahan","Birthplace","Weatherfield General"
"3","Aadi Alahan","Residence","7 Coronation Street"
"4","Aadi Alahan","Father","Dev Alahan"
"5","Aadi Alahan","Mother","Sunita Alahan"
"6","Aadi Alahan","Sibling(s)","Shareen (half-sister) Amber Kalirai (half-sister) Asha Alahan  Two other half-siblings"
"7","Aadi Alahan","First appearance","13th January 2006"
"8","Aadi Alahan","Duration","2006, 2009 to present"
"9","Aadi Alahan","Number of appearances","388 (as of Episode 10823/4)"
"10","Aadi Alahan","Played by","Hannah, Harris & Ria Ahmed (2006)Zennon Ditchett (2009-2019) Adam Hussain (2020 to present)"
"11","Asha Alahan","Born","13th January 2006 (See ""Background information"" below)"
"12","Asha Alahan","Birthplace","Weatherfield General"
"13","Asha Alahan","Residence","7 Coronation Street"
"14","Asha Alahan","Father","Dev Alahan"
"15","Asha Alahan","Mother","Sunita Alahan"
"16","Asha Alahan","Sibling(s)","Shareen (half-sister) Amber Kalirai (half-sister) Aadi Alahan  Two other half-siblings"
"17","Asha Alahan","First appearance","13th January 2006"
"18","Asha Alahan","Duration","2006, 2009 to present"
"19","Asha Alahan","Number of appearances","471 (as of Episode 10823/4)"
"20","Asha Alahan","Played by","Hannah, Harris & Ria Ahmed (2006)Tanisha Gorey (2009 to present)"
"21","Dev Alahan","Occupation","Owner of the Corner Shop, Prima Doner and For Your Fries Only"
"22","Dev Alahan","Born","2nd March 1964"
"23","Dev Alahan","Residence","7 Coronation Street"
"24","Dev Alahan","Father","Ranjiv Alahan"
"25","Dev Alahan","Mother","Urmila Alahan"
"26","Dev Alahan","Spouse(s)","Sunita Parekh (2004)"
"27","Dev Alahan","Children","ShareenAmber Kalirai (1991)Aadi Alahan (2006)Asha Alahan (2006)Two other children"
"28","Dev Alahan","First appearance","10th November 1999"
"29","Dev Alahan","Duration","1999 to present"
"30","Dev Alahan","Number of appearances","1901 (as of Episode 10823/4)"
"31","Dev Alahan","Played by","Jimmi Harkishin"
"32","Sunita Alahan","Occupation","Shop assistant"
"33","Sunita Alahan","Born","1978"
"34","Sunita Alahan","Died","3rd April 2013"
"35","Sunita Alahan","Father","Suresh Parekh"
"36","Sunita Alahan","Mother","Mena Parekh"
"37","Sunita Alahan","Sibling(s)","Jayesh Parekh"
"38","Sunita Alahan","Spouse(s)","Dev Alahan (2004)"
"39","Sunita Alahan","Children","Aadi Alahan (2006)Asha Alahan (2006)"
"40","Sunita Alahan","First appearance","21st March 2001"
"41","Sunita Alahan","Last appearance","3rd April 2013"
"42","Sunita Alahan","Duration","2001-2006, 2009-2013"
"43","Sunita Alahan","Number of appearances","756"
"44","Sunita Alahan","Played by","Shobna Gulati"
"45","Umed Alahan","Occupation","Shop owner"
"46","Umed Alahan","Residence","India"
"47","Umed Alahan","Sibling(s)","Ranjiv Alahan"
"48","Umed Alahan","First appearance","9th March 2009"
"49","Umed Alahan","Last appearance"," 16th October 2009"
"50","Umed Alahan","Duration","2009"
"51","Umed Alahan","Number of appearances","42"
"52","Umed Alahan","Played by","Harish Patel"
"53","Christine Appleby","Occupation","Machinist"
"54","Christine Appleby","Born","19th April 1939"
"55","Christine Appleby","Birthplace","13 Coronation Street,Weatherfield"
"56","Christine Appleby","Father","George Hardman"
"57","Christine Appleby","Mother","May Hardman"
"58","Christine Appleby","Spouse(s)","Colin Appleby (1962)"
"59","Christine Appleby","First appearance","14th December 1960"
"60","Christine Appleby","Last appearance","3rd July 1963"
"61","Christine Appleby","Duration","1960-1963"
"62","Christine Appleby","Number of appearances","123"
"63","Christine Appleby","Played by","Christine Hargreaves"
"64","Angie Appleton","Occupation","Accountant"
"65","Angie Appleton","Born","9th March 1986"
"66","Angie Appleton","Birthplace","Ardwick"
"67","Angie Appleton","Residence","South Africa"
"68","Angie Appleton","Spouse(s)","Jude Appleton (2016)"
"69","Angie Appleton","Children","George Appleton (2017)"
"70","Angie Appleton","First appearance","21st August 2017"
"71","Angie Appleton","Last appearance","7th January 2019"
"72","Angie Appleton","Duration","2017-2019"
"73","Angie Appleton","Number of appearances","94"
"74","Angie Appleton","Played by","Victoria Ekanoye"
"75","George Appleton","Born","2017"
"76","George Appleton","Birthplace","South Africa"
"77","George Appleton","Residence","South Africa"
"78","George Appleton","Father","Jude Appleton"
"79","George Appleton","Mother","Angie Appleton"
"80","George Appleton","First appearance","14th August 2017"
"81","George Appleton","Last appearance","7th January 2019"
"82","George Appleton","Duration","2017-2019"
"83","George Appleton","Number of appearances","48"
"84","George Appleton","Played by","Romeo Cheetham-Karcz"
"85","Jude Appleton","Born","28th November 1984"
"86","Jude Appleton","Birthplace","Newton-le-Willows"
"87","Jude Appleton","Mother","Mary Taylor"
"88","Jude Appleton","Sibling(s)","half siblings"
"89","Jude Appleton","Spouse(s)","Angie Appleton (2016)"
"90","Jude Appleton","Children","George Appleton (2017)"
"91","Jude Appleton","First appearance","25th December 2016"
"92","Jude Appleton","Last appearance","2nd January 2019"
"93","Jude Appleton","Duration","2016-2019"
"94","Jude Appleton","Number of appearances","91"
"95","Jude Appleton","Played by","Paddy Wallace"
"96","Keith Appleyard","Occupation","Taxidermist"
"97","Keith Appleyard","Residence","Bournemouth"
"98","Keith Appleyard","Sibling(s)","Margery Appleyard"
"99","Keith Appleyard","Spouse(s)","Shirley Appleyard"
"100","Keith Appleyard","Children","Angela Harris (1964)  Lorraine  Pauline"
"101","Keith Appleyard","First appearance","23rd March 2005"
"102","Keith Appleyard","Last appearance","30th July 2006"
"103","Keith Appleyard","Duration","2005-2006"
"104","Keith Appleyard","Number of appearances","128"
"105","Keith Appleyard","Played by","Ian Redford"
"106","Lewis Archer","Occupation","Male Escort  Waiter"
"107","Lewis Archer","Born","2nd October 1950"
"108","Lewis Archer","Died","1st January 2019"
"109","Lewis Archer","First appearance","18th December 2009"
"110","Lewis Archer","Last appearance","1st January 2019"
"111","Lewis Archer","Duration","2009-2010, 2012-2013, 2018-2019"
"112","Lewis Archer","Number of appearances","186"
"113","Lewis Archer","Played by","Nigel Havers"
"114","Shirley Armitage","Occupation","Machinist"
"115","Shirley Armitage","Born","11th April 1961"
"116","Shirley Armitage","Birthplace","Weatherfield"
"117","Shirley Armitage","Residence","Gorton"
"118","Shirley Armitage","Mother","Mrs Armitage"
"119","Shirley Armitage","Sibling(s)","Franklin Armitage Lucy ArmitageFour other siblings"
"120","Shirley Armitage","First appearance","5th September 1983"
"121","Shirley Armitage","Last appearance","12th April 1989"
"122","Shirley Armitage","Duration","1983-1989"
"123","Shirley Armitage","Number of appearances","153"
"124","Shirley Armitage","Played by","Lisa Lewis"
"125","Izzy Armstrong","Occupation","Machinist at Underworld"
"126","Izzy Armstrong","Born","24th January 1986"
"127","Izzy Armstrong","Residence","28 Grayling Street"
"128","Izzy Armstrong","Father","Owen Armstrong"
"129","Izzy Armstrong","Mother","Linda Hancock"
"130","Izzy Armstrong","Sibling(s)","Katy Armstrong"
"131","Izzy Armstrong","Children","Jake Windass (2013)"
"132","Izzy Armstrong","First appearance","16th April 2010"
"133","Izzy Armstrong","Duration","2010 to present"
"134","Izzy Armstrong","Number of appearances","770 (as of Episode 10823/4)"
"135","Izzy Armstrong","Played by","Cherylee Houston"
"136","Jamie Armstrong","Born","18th February 1984"
"137","Jamie Armstrong","Father","Carl Armstrong"
"138","Jamie Armstrong","Mother","Tricia Armstrong"
"139","Jamie Armstrong","Sibling(s)","Brad Armstrong (half-brother)"
"140","Jamie Armstrong","First appearance","7th March 1994"
"141","Jamie Armstrong","Last appearance","2nd May 1997"
"142","Jamie Armstrong","Duration","1994-1997"
"143","Jamie Armstrong","Number of appearances","107"
"144","Jamie Armstrong","Played by","Joseph Gilgun"
"145","Katy Armstrong","Occupation","Receptionist"
"146","Katy Armstrong","Born","10th September 1994"
"147","Katy Armstrong","Died","18th October 2017"
"148","Katy Armstrong","Father","Owen Armstrong"
"149","Katy Armstrong","Mother","Linda Hancock"
"150","Katy Armstrong","Sibling(s)","Izzy Armstrong"
"151","Katy Armstrong","Children","Joseph Brown (2011)"
"152","Katy Armstrong","First appearance","30th July 2010"
"153","Katy Armstrong","Last appearance","20th March 2015 (full appearance)9th May 2016 (voice cameo)"
"154","Katy Armstrong","Duration","2010-2015, 2016"
"155","Katy Armstrong","Number of appearances","396"
"156","Katy Armstrong","Played by","Georgia May Foote"
"157","Owen Armstrong","Born","20th September 1958"
"158","Owen Armstrong","Residence","Aberdeen"
"159","Owen Armstrong","Spouse(s)","Linda Hancock (divorced)"
"160","Owen Armstrong","Children","Izzy Armstrong (1986)Katy Armstrong (1994)"
"161","Owen Armstrong","First appearance","9th June 2010"
"162","Owen Armstrong","Last appearance","15th April 2015"
"163","Owen Armstrong","Duration","2010-2015"
"164","Owen Armstrong","Number of appearances","547"
"165","Owen Armstrong","Played by","Ian Puleston-Davies"
"166","Tricia Armstrong","Occupation","Cleaner"
"167","Tricia Armstrong","Born","22nd February 1960"
"168","Tricia Armstrong","Spouse(s)","Carl Armstrong"
"169","Tricia Armstrong","Children","Jamie Armstrong (1984)Brad Armstrong (1997)"
"170","Tricia Armstrong","First appearance","7th March 1994"
"171","Tricia Armstrong","Last appearance","2nd May 1997"
"172","Tricia Armstrong","Duration","1994-1997"
"173","Tricia Armstrong","Number of appearances","193"
"174","Tricia Armstrong","Played by","Tracy Brabin"
"175","Aggie Bailey","Occupation","Nurse"
"176","Aggie Bailey","Residence","3 Coronation Street"
"177","Aggie Bailey","Father","Al"
"178","Aggie Bailey","Sibling(s)","RaymondAt least two sisters"
"179","Aggie Bailey","Spouse(s)","Ed Bailey (1990)"
"180","Aggie Bailey","Children","Michael BaileyDiana BaileyJames Bailey"
"181","Aggie Bailey","First appearance","12th June 2019"
"182","Aggie Bailey","Duration","2019 to present"
"183","Aggie Bailey","Number of appearances","233 (as of Episode 10823/4)"
"184","Aggie Bailey","Played by","Lorna Laidlaw"
"185","Ed Bailey","Occupation","Builder"
"186","Ed Bailey","Born","20th September 1964"
"187","Ed Bailey","Residence","3 Coronation Street"
"188","Ed Bailey","Sibling(s)","Ronnie Bailey"
"189","Ed Bailey","Spouse(s)","Aggie Bailey (1990)"
"190","Ed Bailey","Children","Michael Bailey Diana Bailey James Bailey"
"191","Ed Bailey","First appearance","10th June 2019"
"192","Ed Bailey","Duration","2019 to present"
"193","Ed Bailey","Number of appearances","252 (as of Episode 10823/4)"
"194","Ed Bailey","Played by","Trevor Michael Georges"
"195","James Bailey","Occupation","Footballer"
"196","James Bailey","Residence","London"
"197","James Bailey","Father","Ed Bailey"
"198","James Bailey","Mother","Aggie Bailey"
"199","James Bailey","Sibling(s)","Michael Bailey Diana Bailey"
"200","James Bailey","First appearance","22nd May 2019"
"201","James Bailey","Last appearance","3rd October 2022"
"202","James Bailey","Duration","2019-2022"
"203","James Bailey","Number of appearances","177"
"204","James Bailey","Played by","Nathan Graham"
"205","Michael Bailey","Occupation","Businessman"
"206","Michael Bailey","Born","c.1990"
"207","Michael Bailey","Residence","3 Coronation Street"
"208","Michael Bailey","Father","Ed Bailey"
"209","Michael Bailey","Mother","Aggie Bailey"
"210","Michael Bailey","Sibling(s)","Diana Bailey James Bailey"
"211","Michael Bailey","Children","Glory Bailey (2021)"
"212","Michael Bailey","First appearance","12th June 2019"
"213","Michael Bailey","Duration","2019 to present"
"214","Michael Bailey","Number of appearances","265 (as of Episode 10823/4)"
"215","Michael Bailey","Played by","Ryan Russell"
"216","Ronnie Bailey","Residence","Rovers Return Inn"
"217","Ronnie Bailey","Sibling(s)","Ed Bailey"
"218","Ronnie Bailey","Spouse(s)","Ruth Bailey Kat Bailey"
"219","Ronnie Bailey","First appearance","19th February 2021"
"220","Ronnie Bailey","Duration","2021 to present"
"221","Ronnie Bailey","Number of appearances","113 (as of Episode 10823/4)"
"222","Ronnie Bailey","Played by","Vinta Morgan"
"223","Danny Baldwin","Occupation","Businessman"
"224","Danny Baldwin","Born","20th May 1960"
"225","Danny Baldwin","Father","Mike Baldwin"
"226","Danny Baldwin","Mother","Viv Baldwin"
"227","Danny Baldwin","Sibling(s)","Mark Redman (half-brother)Adam Barlow (half-brother)"
"228","Danny Baldwin","Spouse(s)","Carol Baldwin (1979) Frankie Baldwin (1986)"
"229","Danny Baldwin","Children","Jamie Baldwin (1980) Warren Baldwin (1986)"
"230","Danny Baldwin","First appearance","31st May 2004"
"231","Danny Baldwin","Last appearance","31st December 2006"
"232","Danny Baldwin","Duration","2004-2006"
"233","Danny Baldwin","Number of appearances","392"
"234","Danny Baldwin","Played by","Bradley Walsh"
"235","Frankie Baldwin","Residence","Romania"
"236","Frankie Baldwin","Sibling(s)","a sister"
"237","Frankie Baldwin","Spouse(s)","Danny Baldwin (1986) Dean Fraser (2009)"
"238","Frankie Baldwin","Children","Warren Baldwin (1986)"
"239","Frankie Baldwin","First appearance","6th June 2004"
"240","Frankie Baldwin","Last appearance","31st December 2006"
"241","Frankie Baldwin","Duration","2004-2006"
"242","Frankie Baldwin","Number of appearances","340"
"243","Frankie Baldwin","Played by","Debra Stephenson"
"244","Jamie Baldwin","Occupation","Taxi driver"
"245","Jamie Baldwin","Born","27th June 1980"
"246","Jamie Baldwin","Residence","London"
"247","Jamie Baldwin","Father","Danny Baldwin"
"248","Jamie Baldwin","Mother","Carol Baldwin"
"249","Jamie Baldwin","Sibling(s)","Warren Baldwin (half-brother)"
"250","Jamie Baldwin","First appearance","19th July 2004"
"251","Jamie Baldwin","Last appearance","24th April 2011"
"252","Jamie Baldwin","Duration","2004-2008, 2011"
"253","Jamie Baldwin","Number of appearances","416"
"254","Jamie Baldwin","Played by","Rupert Hill"
"255","Linda Baldwin","Occupation","Machinist"
"256","Linda Baldwin","Born","23rd June 1975"
"257","Linda Baldwin","Residence","Dublin"
"258","Linda Baldwin","Father","Ray Sykes"
"259","Linda Baldwin","Mother","Evelyn Elliott"
"260","Linda Baldwin","Sibling(s)","Jimmy Sykes Ryan Sykes Dean Sykes  1 other brother"
"261","Linda Baldwin","Spouse(s)","Mike Baldwin (2000)"
"262","Linda Baldwin","First appearance","14th October 1998"
"263","Linda Baldwin","Last appearance","5th September 2001"
"264","Linda Baldwin","Duration","1998-2001"
"265","Linda Baldwin","Number of appearances","329"
"266","Linda Baldwin","Played by","Jacqueline Chadwick"
"267","Mike Baldwin","Occupation","Businessman"
"268","Mike Baldwin","Born","16th February 1942"
"269","Mike Baldwin","Birthplace","London"
"270","Mike Baldwin","Died","7th April 2006"
"271","Mike Baldwin","Father","Frankie Baldwin"
"272","Mike Baldwin","Mother","Mary Baldwin"
"273","Mike Baldwin","Sibling(s)","Harry Baldwin"
"274","Mike Baldwin","Spouse(s)","Anne Woodley (common-law)Susan Barlow (1986)Jackie Ingram (1991)Alma Halliwell (1992)Linda Sykes (2000)"
"275","Mike Baldwin","Children","Danny Baldwin (1960)Mark Redman (1983) Adam Barlow (1988)"
"276","Mike Baldwin","First appearance","11th October 1976"
"277","Mike Baldwin","Last appearance","7th April 2006"
"278","Mike Baldwin","Duration","1976-2006"
"279","Mike Baldwin","Number of appearances","2350"
"280","Mike Baldwin","Played by","Johnny Briggs"
"281","Warren Baldwin","Occupation","Footballer"
"282","Warren Baldwin","Born","31st December 1986"
"283","Warren Baldwin","Residence","Spain"
"284","Warren Baldwin","Father","Danny Baldwin"
"285","Warren Baldwin","Mother","Frankie Baldwin"
"286","Warren Baldwin","Sibling(s)","Jamie Baldwin (half-brother)"
"287","Warren Baldwin","First appearance","13th August 2004"
"288","Warren Baldwin","Last appearance","22nd November 2006"
"289","Warren Baldwin","Duration","2004-2005, 2006"
"290","Warren Baldwin","Number of appearances","73"
"291","Warren Baldwin","Played by","Danny Young"
"292","Adam Barlow","Occupation","Solicitor at Barlow Legal Services"
"293","Adam Barlow","Born","3rd May 1988"
"294","Adam Barlow","Birthplace","Glasgow"
"295","Adam Barlow","Residence","7 Redbank Apartments"
"296","Adam Barlow","Father","Mike Baldwin"
"297","Adam Barlow","Mother","Susan Barlow"
"298","Adam Barlow","Sibling(s)","Danny Baldwin (half-brother) Mark Redman (half-brother)"
"299","Adam Barlow","Spouse(s)","Sarah Platt (2020)"
"300","Adam Barlow","First appearance","14th January 2001"
"301","Adam Barlow","Duration","2001, 2002, 2003, 2004-2007, 2016 to present"
"302","Adam Barlow","Number of appearances","849 (as of Episode 10823/4)"
"303","Adam Barlow","Played by","Iain De Caestecker (2001-2003) Samuel Robertson (2004 to present)"
"304","Amy Barlow","Born","9th February 2004"
"305","Amy Barlow","Birthplace","Weatherfield General"
"306","Amy Barlow","Residence","19a Victoria Street"
"307","Amy Barlow","Father","Steve McDonald"
"308","Amy Barlow","Mother","Tracy Barlow"
"309","Amy Barlow","Sibling(s)","Emma Brooker (half-sister)Ruairi McDonald (half-brother)Oliver Battersby (half-brother)"
"310","Amy Barlow","First appearance","9th February 2004"
"311","Amy Barlow","Duration","2004 to present"
"312","Amy Barlow","Number of appearances","931 (as of Episode 10823/4)"
"313","Amy Barlow","Played by","Holly Bowyer (2004) Rebecca Pike (2004-2005) Louisa Morris (2005) Rachel & Sarah Corker (2005) Madison Hampson (2005-2006) Amber Chadwick (2004, 2006-2010) Elle Mulvaney (2010 to present)"
"314","Carla Barlow","Occupation","Factory manager"
"315","Carla Barlow","Born","3rd January 1975"
"316","Carla Barlow","Residence","15a Victoria Street"
"317","Carla Barlow","Father","Johnny Connor"
"318","Carla Barlow","Mother","Sharon Donovan"
"319","Carla Barlow","Sibling(s)","Rob Donovan (half-brother) Aidan Connor (half-brother) Kate Connor (half-sister)"
"320","Carla Barlow","Spouse(s)","Paul Connor (1999) Tony Gordon (2008) Peter Barlow (2013, 2021)Nick Tilsley (2016)"
"321","Carla Barlow","First appearance","1st December 2006"
"322","Carla Barlow","Duration","2006-2016, 2017 to present"
"323","Carla Barlow","Number of appearances","1752 (as of Episode 10823/4)"
"324","Carla Barlow","Played by","Alison King"
"325","David Barlow","Occupation","Footballer"
"326","David Barlow","Born","4th July 1942"
"327","David Barlow","Birthplace","Weatherfield"
"328","David Barlow","Died","8th April 1970"
"329","David Barlow","Father","Frank Barlow"
"330","David Barlow","Mother","Ida Barlow"
"331","David Barlow","Sibling(s)","Ken Barlow"
"332","David Barlow","Spouse(s)","Irma Ogden (1965)"
"333","David Barlow","Children","Darren Barlow (1968)"
"334","David Barlow","First appearance","9th December 1960"
"335","David Barlow","Last appearance","10th April 1968"
"336","David Barlow","Duration","1960-1961, 1963, 1964-1968"
"337","David Barlow","Number of appearances","251"
"338","David Barlow","Played by","Alan Rothwell"
"339","Deirdre Barlow","Occupation","Receptionist"
"340","Deirdre Barlow","Born","8th July 1955"
"341","Deirdre Barlow","Birthplace","Weatherfield"
"342","Deirdre Barlow","Died","8th July 2015"
"343","Deirdre Barlow","Father","Donald Hunt"
"344","Deirdre Barlow","Mother","Blanche Hunt"
"345","Deirdre Barlow","Spouse(s)","Ray Langton (1975)Ken Barlow (1981, 2005)Samir Rachid (1994)"
"346","Deirdre Barlow","Children","Tracy McDonald (1977)"
"347","Deirdre Barlow","First appearance","20th November 1972"
"348","Deirdre Barlow","Last appearance","8th October 2014"
"349","Deirdre Barlow","Duration","1972, 1973-2014"
"350","Deirdre Barlow","Number of appearances","3346"
"351","Deirdre Barlow","Played by","Anne Kirkbride"
"352","Frank Barlow","Occupation","Retired Postman and DIY shop owner"
"353","Frank Barlow","Born","19th October 1913"
"354","Frank Barlow","Birthplace","Weatherfield"
"355","Frank Barlow","Died","prior to April 1975"
"356","Frank Barlow","Father","Sidney Barlow"
"357","Frank Barlow","Mother","Edna Barlow"
"358","Frank Barlow","Sibling(s)","Marjorie Barlow"
"359","Frank Barlow","Spouse(s)","Ida Leathers (1938)"
"360","Frank Barlow","Children","Ken Barlow (1939)David Barlow (1942)"
"361","Frank Barlow","First appearance","9th December 1960"
"362","Frank Barlow","Last appearance","3rd February 1971"
"363","Frank Barlow","Duration","1960-1964, 1967, 1971"
"364","Frank Barlow","Number of appearances","273"
"365","Frank Barlow","Played by","Frank Pemberton"
"366","Ida Barlow","Occupation","Cleaner"
"367","Ida Barlow","Born","16th December 1916"
"368","Ida Barlow","Birthplace","Weatherfield"
"369","Ida Barlow","Died","11th September 1961"
"370","Ida Barlow","Father","George Leathers"
"371","Ida Barlow","Mother","Nancy Leathers"
"372","Ida Barlow","Sibling(s)","Ethel LeathersVera Leathers"
"373","Ida Barlow","Spouse(s)","Frank Barlow (1938)"
"374","Ida Barlow","Children","Ken Barlow (1939)David Barlow (1942)"
"375","Ida Barlow","First appearance","9th December 1960"
"376","Ida Barlow","Last appearance","6th September 1961"
"377","Ida Barlow","Duration","1960-1961"
"378","Ida Barlow","Number of appearances","41"
"379","Ida Barlow","Played by","Noel Dyson"
"380","Irma Barlow","Occupation","Shop owner"
"381","Irma Barlow","Born","28th September 1946"
"382","Irma Barlow","Residence","Canada"
"383","Irma Barlow","Father","Stan Ogden"
"384","Irma Barlow","Mother","Hilda Ogden"
"385","Irma Barlow","Sibling(s)","Trevor OgdenTony OgdenSylvia Ogden"
"386","Irma Barlow","Spouse(s)","David Barlow (1965)"
"387","Irma Barlow","Children","Darren Barlow (1968)"
"388","Irma Barlow","First appearance","27th January 1964"
"389","Irma Barlow","Last appearance","8th December 1971"
"390","Irma Barlow","Duration","1964-1968, 1969, 1970-1971"
"391","Irma Barlow","Number of appearances","395"
"392","Irma Barlow","Played by","Sandra Gough"
"393","Janet Barlow","Occupation","Town clerk"
"394","Janet Barlow","Born","28th November 1942"
"395","Janet Barlow","Birthplace","Keswick"
"396","Janet Barlow","Died","21st February 1977"
"397","Janet Barlow","Father","Charles Reid"
"398","Janet Barlow","Mother","Jacqueline Reid"
"399","Janet Barlow","Sibling(s)","Helen Reid"
"400","Janet Barlow","Spouse(s)","Ken Barlow (1973)"
"401","Janet Barlow","First appearance","16th June 1969"
"402","Janet Barlow","Last appearance","21st February 1977"
"403","Janet Barlow","Duration","1969, 1971, 1973-1974, 1975, 1977"
"404","Janet Barlow","Number of appearances","71"
"405","Janet Barlow","Played by","Judith Barker"
"406","Ken Barlow","Occupation","Teacher (retired)"
"407","Ken Barlow","Born","9th October 1939"
"408","Ken Barlow","Birthplace","3 Coronation Street, Weatherfield"
"409","Ken Barlow","Residence","1 Coronation Street"
"410","Ken Barlow","Father","Frank Barlow"
"411","Ken Barlow","Mother","Ida Barlow"
"412","Ken Barlow","Sibling(s)","David Barlow"
"413","Ken Barlow","Spouse(s)","Valerie Tatlock (1962)Janet Reid (1973)Deirdre Langton (1981, 2005)"
"414","Ken Barlow","Children","Lawrence Cunningham (1961) Susan Barlow (1965)Peter Barlow (1965)Tracy McDonald (adoptive, 1986)Daniel Osbourne (1995)"
"415","Ken Barlow","First appearance","9th December 1960"
"416","Ken Barlow","Duration","1960-2013, 2014 to present"
"417","Ken Barlow","Number of appearances","4768 (as of Episode 10823/4)"
"418","Ken Barlow","Played by","William Roache"
"419","Lucy Barlow","Occupation","Florist"
"420","Lucy Barlow","Born","25th July 1975"
"421","Lucy Barlow","Died","2nd October 2008"
"422","Lucy Barlow","Father","George Wilson"
"423","Lucy Barlow","Spouse(s)","Peter Barlow (2003)"
"424","Lucy Barlow","Children","Simon Barlow (2003)"
"425","Lucy Barlow","First appearance","22nd September 2002"
"426","Lucy Barlow","Last appearance","7th November 2003"
"427","Lucy Barlow","Duration","2002-2003"
"428","Lucy Barlow","Number of appearances","95"
"429","Lucy Barlow","Played by","Katy Carmichael"
"430","Peter Barlow","Born","5th April 1965"
"431","Peter Barlow","Birthplace","Weatherfield"
"432","Peter Barlow","Residence","15a Victoria Street"
"433","Peter Barlow","Father","Ken Barlow"
"434","Peter Barlow","Mother","Valerie Barlow"
"435","Peter Barlow","Sibling(s)","Lawrence Cunningham (half-brother) Susan Barlow Tracy Barlow (adoptive half-sister) Daniel Osbourne (half-brother)"
"436","Peter Barlow","Spouse(s)","Jessica Midgeley (1990)Lucy Richards (2003)Shelley Unwin (2003, bigamous)Leanne Battersby (2010) Carla Connor (2013, 2021)"
"437","Peter Barlow","Children","Simon Barlow (2003)  Unnamed stillborn son (2018)"
"438","Peter Barlow","First appearance","5th April 1965"
"439","Peter Barlow","Duration","1965-1971, 1973, 1974, 1975, 1977, 1978, 1986, 2000-2003, 2007, 2008-2014, 2015, 2016 to present"
"440","Peter Barlow","Number of appearances","1807 (as of Episode 10823/4)"
"441","Peter Barlow","Played by","Robert Heanue (1965-1970) Christopher Dormer (1970-1971) Mark Duncan (1971) Linus Roache (1973-1975) Joseph McKenna (1977-1978) David Lonsdale (1986) Chris Gascoyne (2000 to present)"
"442","Sarah Barlow","Occupation","Businesswoman"
"443","Sarah Barlow","Born","2nd February 1987"
"444","Sarah Barlow","Birthplace","Weatherfield General"
"445","Sarah Barlow","Residence","7 Redbank Apartments"
"446","Sarah Barlow","Father","Brian TilsleyMartin Platt (adoptive)"
"447","Sarah Barlow","Mother","Gail Rodwell"
"448","Sarah Barlow","Sibling(s)","Nick Tilsley David Platt (half-brother) Charlotte Platt (adoptive half-sister)"
"449","Sarah Barlow","Spouse(s)","Jason Grimshaw (2007) Adam Barlow (2020)"
"450","Sarah Barlow","Children","Bethany Platt (2000) Billy Platt (2004) Harry Platt (2016)"
"451","Sarah Barlow","First appearance","2nd February 1987"
"452","Sarah Barlow","Duration","1987-2008, 2015 to present"
"453","Sarah Barlow","Number of appearances","2371 (as of Episode 10823/4)"
"454","Sarah Barlow","Played by","Leah King (1987) Lynsay King (1987-1999) Tina O'Brien (1999 to present)"
"455","Simon Barlow","Occupation","Telesales agent at Underworld"
"456","Simon Barlow","Born","6th July 2003"
"457","Simon Barlow","Residence","15a Victoria Street"
"458","Simon Barlow","Father","Peter Barlow"
"459","Simon Barlow","Mother","Lucy BarlowLeanne Battersby (legal mother)"
"460","Simon Barlow","Sibling(s)","Oliver Battersby (legal half-brother)  Unnamed half-brother (stillborn)"
"461","Simon Barlow","First appearance","6th July 2003"
"462","Simon Barlow","Duration","2003, 2008 to present"
"463","Simon Barlow","Number of appearances","834 (as of Episode 10823/4)"
"464","Simon Barlow","Played by","Daniel Whelan (2003)Jake & Oscar Hartley (2003)Alex Bain (2008 to present)"
"465","Susan Barlow","Born","5th April 1965"
"466","Susan Barlow","Birthplace","Weatherfield"
"467","Susan Barlow","Died","11th February 2001"
"468","Susan Barlow","Father","Ken Barlow"
"469","Susan Barlow","Mother","Valerie Barlow"
"470","Susan Barlow","Sibling(s)","Lawrence Cunningham (half-brother) Peter Barlow Tracy Barlow (adoptive half-sister) Daniel Osbourne (half-brother)"
"471","Susan Barlow","Spouse(s)","Mike Baldwin (1986)"
"472","Susan Barlow","Children","Adam Barlow (1988)"
"473","Susan Barlow","First appearance","5th April 1965"
"474","Susan Barlow","Last appearance","11th February 2001"
"475","Susan Barlow","Duration","1965-1971, 1973, 1974, 1979-1980, 1981, 1985-1987, 2001"
"476","Susan Barlow","Number of appearances","177"
"477","Susan Barlow","Played by","Katie Heanue (1965-1970)Wendy Jane Walker (1970-1974, 1985-1987) Suzy Paterson (1979-1981)Joanna Foster (2001)"
"478","Valerie Barlow","Occupation","Hairdresser"
"479","Valerie Barlow","Born","26th November 1942"
"480","Valerie Barlow","Died","27th January 1971"
"481","Valerie Barlow","Father","Alfred Tatlock"
"482","Valerie Barlow","Mother","Edith Tatlock"
"483","Valerie Barlow","Sibling(s)","Joyce Tatlock (half-sister)"
"484","Valerie Barlow","Spouse(s)","Ken Barlow (1962)"
"485","Valerie Barlow","Children","Susan Barlow (1965)Peter Barlow (1965)"
"486","Valerie Barlow","First appearance","7th August 1961"
"487","Valerie Barlow","Last appearance","27th January 1971 (on-screen) 1st February 1971 (voice appearance)"
